age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,date_birth,salary,remote_work,iter_hourly_rate,iter_total_working_years,iter_monthly_income,iter_salary,knn_hourly_rate,knn_total_working_years,knn_monthly_income,knn_salary
45,no,non_travel,1108.92,research_&_development,1,1,NA,21,High,female,138.61524490429997,medium,senior,healthcare_representative,high,NA,8956.67,23287.33,3,no,23,"4,0",very_high,full_time,1,25.0,3,low,23,14,4,1978,107480.0,no,83.042301980198,25.0,8956.67,107480.0,83.042301980198,25.0,8956.67,107480.0
33,no,NA,1032.49,NA,1,2,life_sciences,22,Low,male,129.0605591670933,high,senior,research_director,very_high,single,8663.70206267265,21682.23,1,yes,12,"3,0",high,part_time,0,15.0,1,good,15,8,12,1990,100071.84,yes,83.042301980198,15.0,5697.60022687609,100071.84,83.042301980198,15.0,5697.60022687609,100071.84
36,no,NA,1032.49,NA,8,3,NA,23,High,male,129.0606348052847,high,senior,healthcare_representative,high,divorced,8663.695771863177,21682.23,1,no,13,"3,0",medium,part_time,3,17.0,2,good,17,12,8,1987,100071.84,yes,83.042301980198,17.0,5697.60022687609,100071.84,83.042301980198,17.0,5697.60022687609,100071.84
47,no,NA,1728.38,NA,2,2,other,24,High,male,216.05,high,manager,manager,very_high,married,14370.058320835107,36296.0,1,no,11,"3,0",high,full_time,1,25.92254817974515,3,low,26,3,0,1976,167520.0,no,216.05,11.318933823529411,5697.60022687609,167520.0,216.05,11.318933823529411,5697.60022687609,167520.0
36,no,travel_rarely,639.79,NA,42,2,life_sciences,25,NA,female,79.97,high,intermediate,sales_executive,very_high,NA,5167.5,13435.5,1,no,14,"3,0",very_high,full_time,1,18.0,1,good,18,4,11,1987,62010.0,yes,79.97,18.0,5167.5,62010.0,79.97,18.0,5167.5,62010.0
35,no,NA,1032.49,NA,9,3,life_sciences,26,Very High,male,129.06,medium,senior,manufacturing_director,high,married,8663.695771793922,21682.23,1,yes,20,"4,0",medium,part_time,1,17.0,2,good,17,5,15,1988,100071.84,no,129.06,17.0,5697.60022687609,100071.84,129.06,17.0,5697.60022687609,100071.84
52,yes,NA,2047.5,NA,2,1,NA,27,Low,male,255.93963491113192,low,executive,manager,very_high,married,16986.84062215084,42997.5,1,no,15,"3,0",very_high,full_time,1,33.0,3,good,32,6,9,1971,198450.0,yes,83.042301980198,33.0,5697.60022687609,198450.0,83.042301980198,33.0,5697.60022687609,198450.0
36,no,NA,556.26,NA,2,4,life_sciences,28,High,male,69.53100768999947,high,intermediate,manufacturing_director,medium,single,4492.84,11681.39,9,yes,11,"3,0",very_high,part_time,0,18.0,2,good,16,5,12,1987,53914.11,no,83.042301980198,18.0,4492.84,53914.11,83.042301980198,18.0,4492.84,53914.11
33,no,travel_rarely,556.26,NA,28,4,life_sciences,29,Medium,female,69.53,high,intermediate,laboratory_technician,high,married,4492.84,11681.39,1,no,12,"3,0",medium,part_time,1,15.0,3,good,15,5,7,1990,53914.11,yes,69.53,15.0,4492.84,53914.11,69.53,15.0,4492.84,53914.11
34,no,non_travel,412.8,sales,10,3,life_sciences,30,Very High,female,51.59875210633015,high,intermediate,sales_executive,high,NA,3334.17,8668.83,1,yes,14,"3,0",high,part_time,1,15.0,3,good,15,0,7,1989,40010.0,yes,83.042301980198,15.0,3334.17,40010.0,83.042301980198,15.0,3334.17,40010.0
41,no,NA,1077.87,sales,37,1,NA,31,NA,male,134.73294721077932,high,senior,sales_executive,high,divorced,8705.83,22635.17,0,no,13,"3,0",very_high,full_time,1,17.114763217897362,3,excellent,22,13,5,1982,104470.0,yes,83.042301980198,11.318933823529411,8705.83,104470.0,83.042301980198,11.318933823529411,8705.83,104470.0
47,no,NA,1032.49,research_&_development,25,3,medical,32,Low,female,146.31097966921376,high,senior,healthcare_representative,high,NA,8339.32,21682.23,2,no,23,"4,0",medium,part_time,0,25.0,3,good,17,12,11,1976,113447.07643415575,yes,83.042301980198,25.0,8339.32,65245.87531343283,83.042301980198,25.0,8339.32,65245.87531343283
53,no,travel_rarely,1973.98,NA,5,3,NA,33,High,male,246.75,high,executive,manager,high,NA,15943.72,41453.67,4,no,11,"3,0",very_high,full_time,1,26.0,3,low,14,4,8,1970,191324.62,yes,246.75,26.0,15943.72,191324.62,246.75,26.0,15943.72,191324.62
35,no,NA,556.26,NA,1,4,marketing,34,High,female,69.53,medium,intermediate,sales_executive,low,single,4492.84,11681.39,0,no,14,"3,0",medium,part_time,0,16.0,2,good,15,2,8,1988,53914.11,no,69.53,16.0,4492.84,53914.11,69.53,16.0,4492.84,53914.11
34,no,travel_rarely,556.26,NA,6,4,other,35,Low,male,99.71276464584543,high,intermediate,research_scientist,high,single,4492.84,11681.39,1,no,14,"3,0",high,part_time,0,16.0,3,good,16,2,10,1989,77316.31858063373,yes,83.042301980198,16.0,4492.84,65245.87531343283,83.042301980198,16.0,4492.84,65245.87531343283
46,no,travel_rarely,1032.49,NA,1,2,NA,36,Medium,male,129.06089702756876,high,senior,sales_executive,low,divorced,8339.32,21682.23,1,no,25,"4,0",high,part_time,3,24.0,2,good,24,15,7,1977,100071.84,yes,83.042301980198,24.0,8339.32,100071.84,83.042301980198,24.0,8339.32,100071.84
43,no,NA,1657.4,NA,16,3,NA,37,Very High,male,207.17,high,manager,manager,very_high,married,13787.99439588068,34805.33,5,no,22,"4,0",high,full_time,1,22.0,3,good,17,1,9,1980,160640.0,yes,207.17,22.0,5697.60022687609,160640.0,207.17,22.0,5697.60022687609,160640.0
36,no,NA,331.19,research_&_development,6,3,life_sciences,38,Very High,female,41.39725640623741,high,entry_level,laboratory_technician,very_high,married,2675.0,6955.0,0,no,11,"3,0",high,full_time,1,16.0,4,good,15,10,11,1987,32100.0,yes,83.042301980198,16.0,2675.0,32100.0,83.042301980198,16.0,2675.0,32100.0
60,no,travel_frequently,1059.19,NA,28,3,NA,39,High,male,132.39877347441322,medium,senior,sales_executive,low,married,8555.0,22243.0,4,no,19,"3,0",very_high,full_time,0,22.0,5,excellent,18,13,11,1963,102660.0,yes,83.042301980198,22.0,8555.0,102660.0,83.042301980198,22.0,8555.0,102660.0
40,no,travel_frequently,1080.75,NA,5,4,NA,40,Very High,female,135.09417255871483,medium,senior,sales_executive,low,married,8729.17,22695.83,5,yes,21,"4,0",high,full_time,1,20.0,2,good,18,1,12,1983,104750.0,no,83.042301980198,20.0,8729.17,104750.0,83.042301980198,20.0,8729.17,104750.0
32,no,travel_rarely,635.76,NA,4,3,NA,41,High,male,79.4691512307993,medium,intermediate,manufacturing_director,high,married,5410.522090750535,13351.0,1,no,12,"3,0",high,full_time,1,14.0,3,good,14,6,8,1991,61620.0,no,83.042301980198,14.0,5697.60022687609,61620.0,83.042301980198,14.0,5697.60022687609,61620.0
41,no,travel_rarely,487.09,NA,35,3,NA,42,NA,female,60.89,high,entry_level,laboratory_technician,low,single,3934.17,10228.83,2,yes,13,"3,0",high,full_time,0,20.0,3,good,18,2,17,1982,47210.0,yes,60.89,20.0,3934.17,47210.0,60.89,20.0,3934.17,47210.0
53,no,NA,1582.77,NA,2,2,medical,43,High,female,197.84731147762116,high,manager,manager,high,divorced,12783.92,33238.2,6,no,13,"3,0",high,full_time,1,22.0,3,excellent,17,15,2,1970,153407.07,no,83.042301980198,22.0,12783.92,153407.07,83.042301980198,22.0,12783.92,153407.07
36,yes,travel_rarely,290.04,NA,16,4,NA,44,High,male,36.25,very_high,entry_level,laboratory_technician,low,single,2575.5218940577643,6090.75,1,no,16,"3,0",high,part_time,0,18.0,1,good,17,15,14,1987,28111.13,yes,36.25,18.0,5697.60022687609,28111.13,36.25,18.0,5697.60022687609,28111.13
46,no,NA,476.15,NA,8,4,life_sciences,45,Very High,male,59.517281531522414,medium,intermediate,research_scientist,low,divorced,3845.83,9999.17,8,yes,23,"4,0",low,part_time,3,8.82230042972549,2,good,16,1,7,1977,46150.0,no,83.042301980198,11.318933823529411,3845.83,46150.0,83.042301980198,11.318933823529411,3845.83,46150.0
38,no,travel_rarely,556.26,NA,1,4,NA,46,Very High,female,69.53093205175936,high,intermediate,sales_executive,medium,married,4492.84,11681.39,0,no,15,"3,0",low,part_time,2,16.0,3,good,15,5,8,1985,53914.11,yes,83.042301980198,16.0,4492.84,53914.11,83.042301980198,16.0,4492.84,53914.11
51,no,NA,1032.49,NA,1,4,NA,47,Low,male,129.0608592084487,medium,senior,healthcare_representative,low,single,8339.32,21682.23,3,no,20,"4,0",high,part_time,0,23.0,1,low,13,12,8,1972,100071.84,yes,83.042301980198,23.0,8339.32,100071.84,83.042301980198,23.0,8339.32,100071.84
43,no,NA,1749.74,NA,26,2,NA,48,High,female,218.71856309349073,high,manager,manager,very_high,married,14132.5,36744.5,1,yes,12,"3,0",very_high,full_time,2,25.0,3,excellent,25,4,12,1980,169590.0,yes,83.042301980198,25.0,14132.5,169590.0,83.042301980198,25.0,14132.5,169590.0
37,no,NA,290.04,NA,1,3,life_sciences,49,Very High,male,36.25243744756671,high,entry_level,research_scientist,very_high,single,2575.559122400347,6090.75,1,no,12,"3,0",medium,part_time,0,6.1680433479329615,3,good,17,5,7,1986,28111.13,yes,83.042301980198,11.318933823529411,5697.60022687609,28111.13,83.042301980198,11.318933823529411,5697.60022687609,28111.13
32,no,travel_rarely,556.26,NA,8,2,technical_degree,50,High,male,69.53070055266093,medium,intermediate,sales_executive,medium,married,4758.585380548165,11681.39,1,yes,11,"3,0",very_high,part_time,0,9.824375217388116,2,good,13,11,9,1991,53914.11,yes,83.042301980198,11.318933823529411,5697.60022687609,53914.11,83.042301980198,11.318933823529411,5697.60022687609,53914.11
38,no,NA,1032.49,NA,1,3,NA,51,Very High,male,129.06055665548828,high,senior,research_director,low,married,8339.32,21682.23,1,no,13,"3,0",medium,part_time,1,15.0,3,good,15,5,11,1985,100071.84,no,83.042301980198,15.0,8339.32,100071.84,83.042301980198,15.0,8339.32,100071.84
46,no,NA,1582.77,NA,3,3,life_sciences,52,High,male,197.8473492967412,high,manager,manager,medium,NA,12783.92,33238.2,8,no,12,"3,0",very_high,full_time,1,23.0,2,excellent,13,5,1,1977,153407.07,yes,83.042301980198,23.0,12783.92,153407.07,83.042301980198,23.0,12783.92,153407.07
35,yes,travel_rarely,1063.32,NA,10,3,medical,53,Very High,female,106.6126452907923,medium,senior,sales_executive,low,married,8588.33,22329.67,9,no,17,"3,0",high,part_time,0,15.0,3,good,13,6,0,1988,82666.31144442013,no,83.042301980198,15.0,8588.33,65245.87531343283,83.042301980198,15.0,8588.33,65245.87531343283
43,no,NA,1973.98,NA,6,3,medical,54,Low,male,150.4717400589286,medium,executive,manager,high,married,15943.72,41453.67,7,no,13,"3,0",very_high,part_time,0,21.0,2,good,16,6,14,1980,116673.29354667739,yes,83.042301980198,21.0,15943.72,65245.87531343283,83.042301980198,21.0,15943.72,65245.87531343283
56,no,non_travel,556.26,NA,1,4,life_sciences,55,High,female,80.81845721565169,high,intermediate,healthcare_representative,high,divorced,4492.84,11681.39,1,no,21,"3,0",low,part_time,1,11.450393564917187,2,low,13,1,9,1967,62666.29706665786,yes,83.042301980198,11.318933823529411,4492.84,65245.87531343283,83.042301980198,11.318933823529411,4492.84,65245.87531343283
36,no,non_travel,557.76,NA,15,4,marketing,56,Very High,female,69.71885758641967,low,intermediate,sales_executive,very_high,divorced,4505.0,11713.0,1,no,24,"4,0",low,full_time,1,9.947014183407854,4,low,15,11,11,1987,54060.0,yes,83.042301980198,11.318933823529411,4505.0,54060.0,83.042301980198,11.318933823529411,4505.0,54060.0
38,no,NA,556.26,NA,6,3,medical,57,Medium,male,69.53097192830124,low,intermediate,research_scientist,very_high,NA,4758.562806311174,11681.39,7,no,12,"3,0",very_high,part_time,3,17.0,3,good,13,1,9,1985,53914.11,yes,83.042301980198,17.0,5697.60022687609,53914.11,83.042301980198,17.0,5697.60022687609,53914.11
49,no,NA,556.26,NA,26,4,medical,58,High,male,69.53,high,intermediate,manufacturing_director,low,NA,4758.565951614004,11681.39,1,no,14,"3,0",high,part_time,0,16.0,2,low,15,5,11,1974,53914.11,no,69.53,16.0,5697.60022687609,53914.11,69.53,16.0,5697.60022687609,53914.11
39,no,travel_rarely,608.94,NA,4,4,life_sciences,59,Very High,male,76.11604041199581,medium,intermediate,sales_executive,high,married,4918.33,12787.67,4,no,14,"3,0",high,full_time,1,17.0,1,excellent,15,5,9,1984,59020.0,yes,83.042301980198,17.0,4918.33,59020.0,83.042301980198,17.0,4918.33,59020.0
40,no,NA,1119.96,NA,4,4,NA,60,High,female,140.0,medium,senior,sales_executive,very_high,married,9380.989115765442,23519.17,7,no,11,"3,0",low,full_time,1,15.0,2,low,12,2,11,1983,108550.0,yes,140.0,15.0,5697.60022687609,108550.0,140.0,15.0,5697.60022687609,108550.0
36,no,NA,610.17,NA,5,2,NA,61,Very High,female,76.27076669177619,high,intermediate,laboratory_technician,medium,single,4928.33,12813.67,8,no,16,"3,0",very_high,full_time,0,16.0,3,excellent,13,3,7,1987,59140.0,yes,83.042301980198,16.0,4928.33,59140.0,83.042301980198,16.0,4928.33,59140.0
37,no,NA,556.26,NA,25,5,NA,62,Medium,male,69.53089629010984,high,intermediate,research_scientist,high,married,4758.569097120648,11681.39,3,yes,15,"3,0",low,part_time,2,15.0,2,good,13,10,7,1986,53914.11,no,83.042301980198,15.0,5697.60022687609,53914.11,83.042301980198,15.0,5697.60022687609,53914.11
35,no,NA,685.7,NA,6,4,NA,63,Medium,female,85.71121448669572,low,intermediate,research_scientist,very_high,NA,5538.33,14399.67,1,no,13,"3,0",medium,full_time,0,11.71015912704666,3,good,17,11,8,1988,66460.0,yes,83.042301980198,11.318933823529411,5538.33,66460.0,83.042301980198,11.318933823529411,5538.33,66460.0
33,no,travel_frequently,556.26,NA,6,3,life_sciences,64,High,female,69.53089423263933,high,intermediate,healthcare_representative,very_high,divorced,4492.84,11681.39,3,no,23,"4,0",high,part_time,1,15.0,2,very_low,13,4,7,1990,53914.11,no,83.042301980198,15.0,4492.84,53914.11,83.042301980198,15.0,4492.84,53914.11
50,no,travel_rarely,1441.66,research_&_development,24,3,NA,65,Very High,female,180.2079859280438,high,manager,manufacturing_director,high,married,12018.92277382846,30274.83,3,yes,18,"3,0",very_high,full_time,1,22.0,2,good,12,1,5,1973,139730.0,no,83.042301980198,22.0,5697.60022687609,139730.0,83.042301980198,22.0,5697.60022687609,139730.0
48,no,travel_rarely,1032.49,NA,4,4,NA,66,High,female,129.06101299624166,medium,senior,healthcare_representative,high,single,8663.66431781581,21682.23,7,no,14,"3,0",medium,part_time,0,27.0,3,good,15,4,8,1975,100071.84,yes,83.042301980198,27.0,5697.60022687609,100071.84,83.042301980198,27.0,5697.60022687609,100071.84
44,no,travel_rarely,1374.29,sales,28,3,NA,67,Very High,male,98.46158375716347,very_high,manager,sales_executive,very_high,married,11100.0,28860.0,3,no,18,"3,0",high,part_time,1,11.299238570235751,2,good,12,11,11,1979,76346.28361595719,yes,83.042301980198,11.318933823529411,11100.0,65245.87531343283,83.042301980198,11.318933823529411,11100.0,65245.87531343283
44,no,travel_rarely,556.26,NA,29,4,NA,68,Very High,female,69.53,high,intermediate,research_scientist,very_high,single,4758.585368284393,11681.39,1,no,25,"4,0",medium,part_time,0,9.824375221901732,3,good,20,13,17,1979,53914.11,yes,69.53,11.318933823529411,5697.60022687609,53914.11,69.53,11.318933823529411,5697.60022687609,53914.11
40,no,NA,556.26,NA,25,1,NA,69,NA,male,69.53089629010984,very_high,intermediate,healthcare_representative,high,NA,4758.569097120648,11681.39,5,no,20,"4,0",medium,part_time,3,15.0,0,good,12,11,8,1983,53914.11,yes,83.042301980198,15.0,5697.60022687609,53914.11,83.042301980198,15.0,5697.60022687609,53914.11
34,no,travel_rarely,689.93,NA,2,4,NA,70,High,male,86.24,high,intermediate,healthcare_representative,very_high,single,5572.5,14488.5,1,no,11,"3,0",very_high,full_time,0,14.0,2,excellent,14,4,11,1989,66870.0,yes,86.24,14.0,5572.5,66870.0,86.24,14.0,5572.5,66870.0
35,no,non_travel,556.26,research_&_development,8,4,NA,71,High,male,69.53070234868028,high,intermediate,healthcare_representative,high,NA,4492.84,11681.39,1,no,12,"3,0",very_high,part_time,1,9.92627118801342,5,good,14,2,9,1988,53914.11,yes,83.042301980198,11.318933823529411,4492.84,53914.11,83.042301980198,11.318933823529411,4492.84,53914.11
50,no,NA,1032.49,NA,17,5,life_sciences,72,Very High,male,129.06061079069934,medium,senior,research_director,low,NA,8663.697759292683,21682.23,5,no,15,"3,0",high,part_time,3,16.365014291661943,3,good,14,1,11,1973,100071.84,no,83.042301980198,11.318933823529411,5697.60022687609,100071.84,83.042301980198,11.318933823529411,5697.60022687609,100071.84
49,no,NA,1582.77,NA,6,1,life_sciences,73,High,male,197.85,medium,manager,healthcare_representative,high,NA,12783.92,33238.2,2,no,19,"3,0",medium,full_time,1,24.073076203892654,3,good,15,2,12,1974,153407.07,yes,197.85,11.318933823529411,12783.92,153407.07,197.85,11.318933823529411,12783.92,153407.07
38,no,travel_frequently,488.53,NA,1,3,life_sciences,74,Very High,female,61.07,high,intermediate,research_scientist,very_high,NA,4203.205931170534,10259.17,7,no,15,"3,0",very_high,part_time,2,19.0,4,good,13,2,9,1985,47350.0,yes,61.07,19.0,5697.60022687609,47350.0,61.07,19.0,5697.60022687609,47350.0
33,no,NA,290.04,NA,21,3,NA,75,Medium,female,36.25273364508474,very_high,entry_level,laboratory_technician,medium,NA,2575.5344759913933,6090.75,1,no,18,"3,0",very_high,part_time,3,14.0,6,good,14,2,13,1990,28111.13,yes,83.042301980198,14.0,5697.60022687609,28111.13,83.042301980198,14.0,5697.60022687609,28111.13
47,no,travel_rarely,1032.49,NA,4,3,life_sciences,76,High,male,129.06061298298104,medium,senior,manufacturing_director,medium,divorced,8339.32,21682.23,8,yes,12,"3,0",high,part_time,1,16.489391944301513,4,good,22,14,10,1976,100071.84,yes,83.042301980198,11.318933823529411,8339.32,100071.84,83.042301980198,11.318933823529411,8339.32,100071.84
38,no,NA,556.26,research_&_development,8,3,NA,77,Very High,male,115.85807145455338,medium,intermediate,research_scientist,medium,divorced,4492.84,11681.39,1,no,16,"3,0",high,part_time,1,20.0,3,good,20,0,7,1985,89834.85257468949,no,83.042301980198,20.0,4492.84,65245.87531343283,83.042301980198,20.0,4492.84,65245.87531343283
37,no,travel_rarely,1032.49,NA,10,3,life_sciences,78,High,male,129.06059447460834,very_high,senior,research_director,very_high,NA,8339.32,21682.23,1,yes,25,"4,0",low,part_time,1,16.0,2,good,16,6,8,1986,100071.84,yes,83.042301980198,16.0,8339.32,100071.84,83.042301980198,16.0,8339.32,100071.84
30,no,NA,556.26,NA,2,3,NA,79,High,female,69.53074501372706,medium,intermediate,healthcare_representative,very_high,married,4758.581678739595,11681.39,1,no,19,"3,0",low,part_time,3,11.0,3,good,11,10,8,1993,53914.11,yes,83.042301980198,11.0,5697.60022687609,53914.11,83.042301980198,11.0,5697.60022687609,53914.11
58,no,travel_rarely,1431.24,NA,18,4,NA,80,Very High,female,178.9059902999146,high,manager,sales_executive,high,single,11560.0,30056.0,0,no,13,"3,0",high,full_time,0,38.0,1,low,37,1,8,1965,138720.0,yes,83.042301980198,38.0,11560.0,138720.0,83.042301980198,38.0,11560.0,138720.0
34,no,travel_rarely,1032.49,NA,5,3,NA,81,High,male,101.91138594526682,medium,senior,manager,low,single,8339.32,21682.23,2,no,12,"3,0",very_high,part_time,0,14.0,6,good,11,5,8,1989,79021.10795050237,no,83.042301980198,14.0,8339.32,65245.87531343283,83.042301980198,14.0,8339.32,65245.87531343283
58,yes,travel_rarely,1032.49,NA,23,4,medical,82,Very High,male,129.06150213348954,high,senior,healthcare_representative,very_high,married,8339.32,21682.23,1,no,12,"3,0",very_high,part_time,1,40.0,3,low,40,15,6,1965,100071.84,yes,83.042301980198,40.0,8339.32,100071.84,83.042301980198,40.0,8339.32,100071.84
38,no,NA,1032.49,NA,3,3,life_sciences,83,Low,female,91.08972859085588,high,senior,sales_executive,high,divorced,8339.32,21682.23,0,no,12,"3,0",high,part_time,2,11.362395898152304,6,low,16,5,13,1985,70630.35343310711,yes,83.042301980198,11.318933823529411,8339.32,65245.87531343283,83.042301980198,11.318933823529411,8339.32,65245.87531343283
