category_environment,environment_id,category_job_satisfaction,job_satisfaction_id,category_job_involvment,job_involvment_id,category_relationship,relationship_id,category_balance,balance_id,satisfaction_id,satisfaction
Low,,medium,2,high,3,high,3,very_low,1,2331,"Low, medium, high, high, very_low"
Low,,medium,2,high,3,high,3,low,2,2332,"Low, medium, high, high, low"
Low,,medium,2,high,3,high,3,good,3,2333,"Low, medium, high, high, good"
Low,,medium,2,high,3,high,3,excellent,4,2334,"Low, medium, high, high, excellent"
Low,,medium,2,high,3,very_high,4,very_low,1,2341,"Low, medium, high, very_high, very_low"
Low,,medium,2,high,3,very_high,4,low,2,2342,"Low, medium, high, very_high, low"
Low,,medium,2,high,3,very_high,4,good,3,2343,"Low, medium, high, very_high, good"
Low,,medium,2,high,3,very_high,4,excellent,4,2344,"Low, medium, high, very_high, excellent"
Low,,medium,2,very_high,4,low,1,very_low,1,2411,"Low, medium, very_high, low, very_low"
Low,,medium,2,very_high,4,low,1,low,2,2412,"Low, medium, very_high, low, low"
Low,,medium,2,very_high,4,low,1,good,3,2413,"Low, medium, very_high, low, good"
Low,,medium,2,very_high,4,low,1,excellent,4,2414,"Low, medium, very_high, low, excellent"
Low,,medium,2,very_high,4,medium,2,very_low,1,2421,"Low, medium, very_high, medium, very_low"
Low,,medium,2,very_high,4,medium,2,low,2,2422,"Low, medium, very_high, medium, low"
Low,,medium,2,very_high,4,medium,2,good,3,2423,"Low, medium, very_high, medium, good"
Low,,medium,2,very_high,4,medium,2,excellent,4,2424,"Low, medium, very_high, medium, excellent"
Low,,medium,2,very_high,4,high,3,very_low,1,2431,"Low, medium, very_high, high, very_low"
Low,,medium,2,very_high,4,high,3,low,2,2432,"Low, medium, very_high, high, low"
Low,,medium,2,very_high,4,high,3,good,3,2433,"Low, medium, very_high, high, good"
Low,,medium,2,very_high,4,high,3,excellent,4,2434,"Low, medium, very_high, high, excellent"
Low,,medium,2,very_high,4,very_high,4,very_low,1,2441,"Low, medium, very_high, very_high, very_low"
Low,,medium,2,very_high,4,very_high,4,low,2,2442,"Low, medium, very_high, very_high, low"
Low,,medium,2,very_high,4,very_high,4,good,3,2443,"Low, medium, very_high, very_high, good"
Low,,medium,2,very_high,4,very_high,4,excellent,4,2444,"Low, medium, very_high, very_high, excellent"
Low,,high,3,low,1,low,1,very_low,1,3111,"Low, high, low, low, very_low"
Low,,high,3,low,1,low,1,low,2,3112,"Low, high, low, low, low"
Low,,high,3,low,1,low,1,good,3,3113,"Low, high, low, low, good"
Low,,high,3,low,1,low,1,excellent,4,3114,"Low, high, low, low, excellent"
Low,,high,3,low,1,medium,2,very_low,1,3121,"Low, high, low, medium, very_low"
Low,,high,3,low,1,medium,2,low,2,3122,"Low, high, low, medium, low"
Low,,high,3,low,1,medium,2,good,3,3123,"Low, high, low, medium, good"
Low,,high,3,low,1,medium,2,excellent,4,3124,"Low, high, low, medium, excellent"
Low,,high,3,low,1,high,3,very_low,1,3131,"Low, high, low, high, very_low"
Low,,high,3,low,1,high,3,low,2,3132,"Low, high, low, high, low"
Low,,high,3,low,1,high,3,good,3,3133,"Low, high, low, high, good"
Low,,high,3,low,1,high,3,excellent,4,3134,"Low, high, low, high, excellent"
Low,,high,3,low,1,very_high,4,very_low,1,3141,"Low, high, low, very_high, very_low"
Low,,high,3,low,1,very_high,4,low,2,3142,"Low, high, low, very_high, low"
Low,,high,3,low,1,very_high,4,good,3,3143,"Low, high, low, very_high, good"
Low,,high,3,low,1,very_high,4,excellent,4,3144,"Low, high, low, very_high, excellent"
Low,,high,3,medium,2,low,1,very_low,1,3211,"Low, high, medium, low, very_low"
Low,,high,3,medium,2,low,1,low,2,3212,"Low, high, medium, low, low"
Low,,high,3,medium,2,low,1,good,3,3213,"Low, high, medium, low, good"
Low,,high,3,medium,2,low,1,excellent,4,3214,"Low, high, medium, low, excellent"
Low,,high,3,medium,2,medium,2,very_low,1,3221,"Low, high, medium, medium, very_low"
Low,,high,3,medium,2,medium,2,low,2,3222,"Low, high, medium, medium, low"
Low,,high,3,medium,2,medium,2,good,3,3223,"Low, high, medium, medium, good"
Low,,high,3,medium,2,medium,2,excellent,4,3224,"Low, high, medium, medium, excellent"
Low,,high,3,medium,2,high,3,very_low,1,3231,"Low, high, medium, high, very_low"
Low,,high,3,medium,2,high,3,low,2,3232,"Low, high, medium, high, low"
Low,,high,3,medium,2,high,3,good,3,3233,"Low, high, medium, high, good"
Low,,high,3,medium,2,high,3,excellent,4,3234,"Low, high, medium, high, excellent"
Low,,high,3,medium,2,very_high,4,very_low,1,3241,"Low, high, medium, very_high, very_low"
Low,,high,3,medium,2,very_high,4,low,2,3242,"Low, high, medium, very_high, low"
Low,,high,3,medium,2,very_high,4,good,3,3243,"Low, high, medium, very_high, good"
Low,,high,3,medium,2,very_high,4,excellent,4,3244,"Low, high, medium, very_high, excellent"
Low,,high,3,high,3,low,1,very_low,1,3311,"Low, high, high, low, very_low"
Low,,high,3,high,3,low,1,low,2,3312,"Low, high, high, low, low"
Low,,high,3,high,3,low,1,good,3,3313,"Low, high, high, low, good"
Low,,high,3,high,3,low,1,excellent,4,3314,"Low, high, high, low, excellent"
Low,,high,3,high,3,medium,2,very_low,1,3321,"Low, high, high, medium, very_low"
Low,,high,3,high,3,medium,2,low,2,3322,"Low, high, high, medium, low"
Low,,high,3,high,3,medium,2,good,3,3323,"Low, high, high, medium, good"
Low,,high,3,high,3,medium,2,excellent,4,3324,"Low, high, high, medium, excellent"
Low,,high,3,high,3,high,3,very_low,1,3331,"Low, high, high, high, very_low"
Low,,high,3,high,3,high,3,low,2,3332,"Low, high, high, high, low"
Low,,high,3,high,3,high,3,good,3,3333,"Low, high, high, high, good"
Low,,high,3,high,3,high,3,excellent,4,3334,"Low, high, high, high, excellent"
Low,,high,3,high,3,very_high,4,very_low,1,3341,"Low, high, high, very_high, very_low"
Low,,high,3,high,3,very_high,4,low,2,3342,"Low, high, high, very_high, low"
Low,,high,3,high,3,very_high,4,good,3,3343,"Low, high, high, very_high, good"
Low,,high,3,high,3,very_high,4,excellent,4,3344,"Low, high, high, very_high, excellent"
Low,,high,3,very_high,4,low,1,very_low,1,3411,"Low, high, very_high, low, very_low"
Low,,high,3,very_high,4,low,1,low,2,3412,"Low, high, very_high, low, low"
Low,,high,3,very_high,4,low,1,good,3,3413,"Low, high, very_high, low, good"
Low,,high,3,very_high,4,low,1,excellent,4,3414,"Low, high, very_high, low, excellent"
Low,,high,3,very_high,4,medium,2,very_low,1,3421,"Low, high, very_high, medium, very_low"
Low,,high,3,very_high,4,medium,2,low,2,3422,"Low, high, very_high, medium, low"
Low,,high,3,very_high,4,medium,2,good,3,3423,"Low, high, very_high, medium, good"
Low,,high,3,very_high,4,medium,2,excellent,4,3424,"Low, high, very_high, medium, excellent"
Low,,high,3,very_high,4,high,3,very_low,1,3431,"Low, high, very_high, high, very_low"
Low,,high,3,very_high,4,high,3,low,2,3432,"Low, high, very_high, high, low"
Low,,high,3,very_high,4,high,3,good,3,3433,"Low, high, very_high, high, good"
Low,,high,3,very_high,4,high,3,excellent,4,3434,"Low, high, very_high, high, excellent"
Low,,high,3,very_high,4,very_high,4,very_low,1,3441,"Low, high, very_high, very_high, very_low"
Low,,high,3,very_high,4,very_high,4,low,2,3442,"Low, high, very_high, very_high, low"
Low,,high,3,very_high,4,very_high,4,good,3,3443,"Low, high, very_high, very_high, good"
Low,,high,3,very_high,4,very_high,4,excellent,4,3444,"Low, high, very_high, very_high, excellent"
Low,,very_high,4,low,1,low,1,very_low,1,4111,"Low, very_high, low, low, very_low"
Low,,very_high,4,low,1,low,1,low,2,4112,"Low, very_high, low, low, low"
Low,,very_high,4,low,1,low,1,good,3,4113,"Low, very_high, low, low, good"
Low,,very_high,4,low,1,low,1,excellent,4,4114,"Low, very_high, low, low, excellent"
Low,,very_high,4,low,1,medium,2,very_low,1,4121,"Low, very_high, low, medium, very_low"
Low,,very_high,4,low,1,medium,2,low,2,4122,"Low, very_high, low, medium, low"
Low,,very_high,4,low,1,medium,2,good,3,4123,"Low, very_high, low, medium, good"
Low,,very_high,4,low,1,medium,2,excellent,4,4124,"Low, very_high, low, medium, excellent"
Low,,very_high,4,low,1,high,3,very_low,1,4131,"Low, very_high, low, high, very_low"
Low,,very_high,4,low,1,high,3,low,2,4132,"Low, very_high, low, high, low"
Low,,very_high,4,low,1,high,3,good,3,4133,"Low, very_high, low, high, good"
Low,,very_high,4,low,1,high,3,excellent,4,4134,"Low, very_high, low, high, excellent"
Low,,very_high,4,low,1,very_high,4,very_low,1,4141,"Low, very_high, low, very_high, very_low"
Low,,very_high,4,low,1,very_high,4,low,2,4142,"Low, very_high, low, very_high, low"
Low,,very_high,4,low,1,very_high,4,good,3,4143,"Low, very_high, low, very_high, good"
Low,,very_high,4,low,1,very_high,4,excellent,4,4144,"Low, very_high, low, very_high, excellent"
Low,,very_high,4,medium,2,low,1,very_low,1,4211,"Low, very_high, medium, low, very_low"
Low,,very_high,4,medium,2,low,1,low,2,4212,"Low, very_high, medium, low, low"
Low,,very_high,4,medium,2,low,1,good,3,4213,"Low, very_high, medium, low, good"
Low,,very_high,4,medium,2,low,1,excellent,4,4214,"Low, very_high, medium, low, excellent"
Low,,very_high,4,medium,2,medium,2,very_low,1,4221,"Low, very_high, medium, medium, very_low"
Low,,very_high,4,medium,2,medium,2,low,2,4222,"Low, very_high, medium, medium, low"
Low,,very_high,4,medium,2,medium,2,good,3,4223,"Low, very_high, medium, medium, good"
Low,,very_high,4,medium,2,medium,2,excellent,4,4224,"Low, very_high, medium, medium, excellent"
Low,,very_high,4,medium,2,high,3,very_low,1,4231,"Low, very_high, medium, high, very_low"
Low,,very_high,4,medium,2,high,3,low,2,4232,"Low, very_high, medium, high, low"
Low,,very_high,4,medium,2,high,3,good,3,4233,"Low, very_high, medium, high, good"
Low,,very_high,4,medium,2,high,3,excellent,4,4234,"Low, very_high, medium, high, excellent"
Low,,very_high,4,medium,2,very_high,4,very_low,1,4241,"Low, very_high, medium, very_high, very_low"
Low,,very_high,4,medium,2,very_high,4,low,2,4242,"Low, very_high, medium, very_high, low"
Low,,very_high,4,medium,2,very_high,4,good,3,4243,"Low, very_high, medium, very_high, good"
Low,,very_high,4,medium,2,very_high,4,excellent,4,4244,"Low, very_high, medium, very_high, excellent"
Low,,very_high,4,high,3,low,1,very_low,1,4311,"Low, very_high, high, low, very_low"
Low,,very_high,4,high,3,low,1,low,2,4312,"Low, very_high, high, low, low"
Low,,very_high,4,high,3,low,1,good,3,4313,"Low, very_high, high, low, good"
Low,,very_high,4,high,3,low,1,excellent,4,4314,"Low, very_high, high, low, excellent"
Low,,very_high,4,high,3,medium,2,very_low,1,4321,"Low, very_high, high, medium, very_low"
Low,,very_high,4,high,3,medium,2,low,2,4322,"Low, very_high, high, medium, low"
Low,,very_high,4,high,3,medium,2,good,3,4323,"Low, very_high, high, medium, good"
Low,,very_high,4,high,3,medium,2,excellent,4,4324,"Low, very_high, high, medium, excellent"
Low,,very_high,4,high,3,high,3,very_low,1,4331,"Low, very_high, high, high, very_low"
Low,,very_high,4,high,3,high,3,low,2,4332,"Low, very_high, high, high, low"
Low,,very_high,4,high,3,high,3,good,3,4333,"Low, very_high, high, high, good"
Low,,very_high,4,high,3,high,3,excellent,4,4334,"Low, very_high, high, high, excellent"
Low,,very_high,4,high,3,very_high,4,very_low,1,4341,"Low, very_high, high, very_high, very_low"
Low,,very_high,4,high,3,very_high,4,low,2,4342,"Low, very_high, high, very_high, low"
Low,,very_high,4,high,3,very_high,4,good,3,4343,"Low, very_high, high, very_high, good"
Low,,very_high,4,high,3,very_high,4,excellent,4,4344,"Low, very_high, high, very_high, excellent"
Low,,very_high,4,very_high,4,low,1,very_low,1,4411,"Low, very_high, very_high, low, very_low"
Low,,very_high,4,very_high,4,low,1,low,2,4412,"Low, very_high, very_high, low, low"
Low,,very_high,4,very_high,4,low,1,good,3,4413,"Low, very_high, very_high, low, good"
Low,,very_high,4,very_high,4,low,1,excellent,4,4414,"Low, very_high, very_high, low, excellent"
Low,,very_high,4,very_high,4,medium,2,very_low,1,4421,"Low, very_high, very_high, medium, very_low"
Low,,very_high,4,very_high,4,medium,2,low,2,4422,"Low, very_high, very_high, medium, low"
Low,,very_high,4,very_high,4,medium,2,good,3,4423,"Low, very_high, very_high, medium, good"
Low,,very_high,4,very_high,4,medium,2,excellent,4,4424,"Low, very_high, very_high, medium, excellent"
Low,,very_high,4,very_high,4,high,3,very_low,1,4431,"Low, very_high, very_high, high, very_low"
Low,,very_high,4,very_high,4,high,3,low,2,4432,"Low, very_high, very_high, high, low"
Low,,very_high,4,very_high,4,high,3,good,3,4433,"Low, very_high, very_high, high, good"
Low,,very_high,4,very_high,4,high,3,excellent,4,4434,"Low, very_high, very_high, high, excellent"
Low,,very_high,4,very_high,4,very_high,4,very_low,1,4441,"Low, very_high, very_high, very_high, very_low"
Low,,very_high,4,very_high,4,very_high,4,low,2,4442,"Low, very_high, very_high, very_high, low"
Low,,very_high,4,very_high,4,very_high,4,good,3,4443,"Low, very_high, very_high, very_high, good"
Low,,very_high,4,very_high,4,very_high,4,excellent,4,4444,"Low, very_high, very_high, very_high, excellent"
High,,low,1,low,1,low,1,very_low,1,1111,"High, low, low, low, very_low"
High,,low,1,low,1,low,1,low,2,1112,"High, low, low, low, low"
High,,low,1,low,1,low,1,good,3,1113,"High, low, low, low, good"
High,,low,1,low,1,low,1,excellent,4,1114,"High, low, low, low, excellent"
High,,low,1,low,1,medium,2,very_low,1,1121,"High, low, low, medium, very_low"
High,,low,1,low,1,medium,2,low,2,1122,"High, low, low, medium, low"
High,,low,1,low,1,medium,2,good,3,1123,"High, low, low, medium, good"
High,,low,1,low,1,medium,2,excellent,4,1124,"High, low, low, medium, excellent"
High,,low,1,low,1,high,3,very_low,1,1131,"High, low, low, high, very_low"
High,,low,1,low,1,high,3,low,2,1132,"High, low, low, high, low"
High,,low,1,low,1,high,3,good,3,1133,"High, low, low, high, good"
High,,low,1,low,1,high,3,excellent,4,1134,"High, low, low, high, excellent"
High,,low,1,low,1,very_high,4,very_low,1,1141,"High, low, low, very_high, very_low"
High,,low,1,low,1,very_high,4,low,2,1142,"High, low, low, very_high, low"
High,,low,1,low,1,very_high,4,good,3,1143,"High, low, low, very_high, good"
High,,low,1,low,1,very_high,4,excellent,4,1144,"High, low, low, very_high, excellent"
High,,low,1,medium,2,low,1,very_low,1,1211,"High, low, medium, low, very_low"
High,,low,1,medium,2,low,1,low,2,1212,"High, low, medium, low, low"
High,,low,1,medium,2,low,1,good,3,1213,"High, low, medium, low, good"
High,,low,1,medium,2,low,1,excellent,4,1214,"High, low, medium, low, excellent"
High,,low,1,medium,2,medium,2,very_low,1,1221,"High, low, medium, medium, very_low"
High,,low,1,medium,2,medium,2,low,2,1222,"High, low, medium, medium, low"
High,,low,1,medium,2,medium,2,good,3,1223,"High, low, medium, medium, good"
High,,low,1,medium,2,medium,2,excellent,4,1224,"High, low, medium, medium, excellent"
High,,low,1,medium,2,high,3,very_low,1,1231,"High, low, medium, high, very_low"
High,,low,1,medium,2,high,3,low,2,1232,"High, low, medium, high, low"
High,,low,1,medium,2,high,3,good,3,1233,"High, low, medium, high, good"
High,,low,1,medium,2,high,3,excellent,4,1234,"High, low, medium, high, excellent"
High,,low,1,medium,2,very_high,4,very_low,1,1241,"High, low, medium, very_high, very_low"
High,,low,1,medium,2,very_high,4,low,2,1242,"High, low, medium, very_high, low"
High,,low,1,medium,2,very_high,4,good,3,1243,"High, low, medium, very_high, good"
High,,low,1,medium,2,very_high,4,excellent,4,1244,"High, low, medium, very_high, excellent"
High,,low,1,high,3,low,1,very_low,1,1311,"High, low, high, low, very_low"
High,,low,1,high,3,low,1,low,2,1312,"High, low, high, low, low"
High,,low,1,high,3,low,1,good,3,1313,"High, low, high, low, good"
High,,low,1,high,3,low,1,excellent,4,1314,"High, low, high, low, excellent"
High,,low,1,high,3,medium,2,very_low,1,1321,"High, low, high, medium, very_low"
High,,low,1,high,3,medium,2,low,2,1322,"High, low, high, medium, low"
High,,low,1,high,3,medium,2,good,3,1323,"High, low, high, medium, good"
High,,low,1,high,3,medium,2,excellent,4,1324,"High, low, high, medium, excellent"
High,,low,1,high,3,high,3,very_low,1,1331,"High, low, high, high, very_low"
High,,low,1,high,3,high,3,low,2,1332,"High, low, high, high, low"
High,,low,1,high,3,high,3,good,3,1333,"High, low, high, high, good"
High,,low,1,high,3,high,3,excellent,4,1334,"High, low, high, high, excellent"
High,,low,1,high,3,very_high,4,very_low,1,1341,"High, low, high, very_high, very_low"
High,,low,1,high,3,very_high,4,low,2,1342,"High, low, high, very_high, low"
High,,low,1,high,3,very_high,4,good,3,1343,"High, low, high, very_high, good"
High,,low,1,high,3,very_high,4,excellent,4,1344,"High, low, high, very_high, excellent"
High,,low,1,very_high,4,low,1,very_low,1,1411,"High, low, very_high, low, very_low"
High,,low,1,very_high,4,low,1,low,2,1412,"High, low, very_high, low, low"
High,,low,1,very_high,4,low,1,good,3,1413,"High, low, very_high, low, good"
High,,low,1,very_high,4,low,1,excellent,4,1414,"High, low, very_high, low, excellent"
High,,low,1,very_high,4,medium,2,very_low,1,1421,"High, low, very_high, medium, very_low"
High,,low,1,very_high,4,medium,2,low,2,1422,"High, low, very_high, medium, low"
High,,low,1,very_high,4,medium,2,good,3,1423,"High, low, very_high, medium, good"
High,,low,1,very_high,4,medium,2,excellent,4,1424,"High, low, very_high, medium, excellent"
High,,low,1,very_high,4,high,3,very_low,1,1431,"High, low, very_high, high, very_low"
High,,low,1,very_high,4,high,3,low,2,1432,"High, low, very_high, high, low"
High,,low,1,very_high,4,high,3,good,3,1433,"High, low, very_high, high, good"
High,,low,1,very_high,4,high,3,excellent,4,1434,"High, low, very_high, high, excellent"
High,,low,1,very_high,4,very_high,4,very_low,1,1441,"High, low, very_high, very_high, very_low"
High,,low,1,very_high,4,very_high,4,low,2,1442,"High, low, very_high, very_high, low"
High,,low,1,very_high,4,very_high,4,good,3,1443,"High, low, very_high, very_high, good"
High,,low,1,very_high,4,very_high,4,excellent,4,1444,"High, low, very_high, very_high, excellent"
High,,medium,2,low,1,low,1,very_low,1,2111,"High, medium, low, low, very_low"
High,,medium,2,low,1,low,1,low,2,2112,"High, medium, low, low, low"
High,,medium,2,low,1,low,1,good,3,2113,"High, medium, low, low, good"
High,,medium,2,low,1,low,1,excellent,4,2114,"High, medium, low, low, excellent"
High,,medium,2,low,1,medium,2,very_low,1,2121,"High, medium, low, medium, very_low"
High,,medium,2,low,1,medium,2,low,2,2122,"High, medium, low, medium, low"
High,,medium,2,low,1,medium,2,good,3,2123,"High, medium, low, medium, good"
High,,medium,2,low,1,medium,2,excellent,4,2124,"High, medium, low, medium, excellent"
High,,medium,2,low,1,high,3,very_low,1,2131,"High, medium, low, high, very_low"
High,,medium,2,low,1,high,3,low,2,2132,"High, medium, low, high, low"
High,,medium,2,low,1,high,3,good,3,2133,"High, medium, low, high, good"
