age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,date_birth,salary,remote_work
36,no,,331.19,research_&_development,6,3,life_sciences,38,very_high,female,,high,entry_level,laboratory_technician,very_high,married,2675.0,6955.0,0,,11,"3,0",high,full_time,1,16,4,good,15,10,11,1987,32100.0,yes
60,no,travel_frequently,1059.19,,28,3,nan,39,high,male,,medium,senior,sales_executive,low,married,8555.0,22243.0,4,no,19,"3,0",very_high,full_time,0,22,5,excellent,18,13,11,1963,102660.0,yes
40,no,travel_frequently,1080.75,,5,4,nan,40,very_high,female,,medium,senior,sales_executive,low,married,8729.17,22695.83,5,yes,21,"4,0",high,full_time,1,20,2,good,18,1,12,1983,104750.0,no
32,no,travel_rarely,635.76,,4,3,nan,41,high,male,,medium,intermediate,manufacturing_director,high,married,,13351.0,1,no,12,"3,0",high,full_time,1,14,3,good,14,6,8,1991,61620.0,no
41,no,travel_rarely,487.09,,35,3,nan,42,nan,female,60.89,high,entry_level,laboratory_technician,low,single,3934.17,10228.83,2,yes,13,,high,full_time,0,20,3,good,18,2,17,1982,47210.0,yes
53,no,,1582.77,,2,2,medical,43,high,female,,high,manager,manager,high,divorced,12783.92,33238.2,6,no,13,"3,0",high,full_time,1,22,3,excellent,17,15,2,1970,153407.07,no
36,yes,travel_rarely,290.04,,16,4,nan,44,high,male,36.25,very_high,entry_level,laboratory_technician,low,single,,6090.75,1,,16,"3,0",high,part_time,0,18,1,good,17,15,14,1987,28111.13,yes
46,no,,476.15,,8,4,life_sciences,45,very_high,male,,medium,intermediate,research_scientist,low,divorced,3845.83,9999.17,8,yes,23,"4,0",low,part_time,3,,2,good,16,1,7,1977,46150.0,no
38,no,travel_rarely,556.26,,1,4,nan,46,very_high,female,,high,intermediate,sales_executive,medium,married,4492.84,11681.39,0,no,15,"3,0",low,nan,2,16,3,,15,5,8,1985,53914.11,yes
51,no,,1032.49,,1,4,nan,47,low,male,,medium,senior,healthcare_representative,low,single,8339.32,21682.23,3,,20,"4,0",high,part_time,0,23,1,low,13,12,8,1972,100071.84,yes
43,no,,1749.74,,26,2,nan,48,high,female,,high,manager,manager,very_high,married,14132.5,36744.5,1,yes,12,"3,0",very_high,full_time,2,25,3,excellent,25,4,12,1980,169590.0,yes
37,no,,290.04,,1,3,life_sciences,49,very_high,male,,high,entry_level,research_scientist,very_high,single,,6090.75,1,no,12,"3,0",medium,part_time,0,,3,good,17,5,7,1986,28111.13,yes
32,no,travel_rarely,556.26,,8,2,technical_degree,50,high,male,,medium,intermediate,sales_executive,medium,married,,11681.39,1,yes,11,"3,0",very_high,part_time,0,,2,good,13,11,9,1991,53914.11,yes
38,no,,1032.49,,1,3,nan,51,very_high,male,,high,senior,research_director,low,married,8339.32,21682.23,1,,13,"3,0",medium,part_time,1,15,3,good,15,5,11,1985,100071.84,no
46,no,,1582.77,,3,3,life_sciences,52,high,male,,high,manager,manager,medium,,12783.92,33238.2,8,no,12,"3,0",very_high,full_time,1,23,2,excellent,13,5,1,1977,153407.07,yes
35,yes,travel_rarely,1063.32,,10,3,medical,53,very_high,female,,medium,senior,sales_executive,low,married,8588.33,22329.67,9,,17,"3,0",high,nan,0,15,3,,13,6,0,1988,,no
43,no,,1973.98,,6,3,medical,54,low,male,,medium,executive,manager,high,married,15943.72,41453.67,7,no,13,"3,0",very_high,nan,0,21,2,good,16,6,14,1980,,yes
56,no,non_travel,556.26,,1,4,life_sciences,55,high,female,,high,intermediate,healthcare_representative,high,divorced,4492.84,11681.39,1,no,21,,low,nan,1,,2,low,13,1,9,1967,,yes
36,no,non_travel,557.76,,15,4,marketing,56,very_high,female,,low,intermediate,sales_executive,very_high,divorced,4505.0,11713.0,1,no,24,"4,0",low,full_time,1,,4,low,15,11,11,1987,54060.0,yes
38,no,,556.26,,6,3,medical,57,medium,male,,low,intermediate,research_scientist,very_high,,,11681.39,7,,12,"3,0",very_high,part_time,3,17,3,good,13,1,9,1985,53914.11,yes
49,no,,556.26,,26,4,medical,58,high,male,69.53,high,intermediate,manufacturing_director,low,,,11681.39,1,no,14,"3,0",high,part_time,0,16,2,low,15,5,11,1974,53914.11,no
39,no,travel_rarely,608.94,,4,4,life_sciences,59,very_high,male,,medium,intermediate,sales_executive,high,married,4918.33,12787.67,4,,14,"3,0",high,full_time,1,17,1,excellent,15,5,9,1984,59020.0,yes
40,no,,1119.96,,4,4,nan,60,high,female,140.0,medium,senior,sales_executive,very_high,married,,23519.17,7,no,11,,low,full_time,1,15,2,low,12,2,11,1983,108550.0,yes
36,no,,610.17,,5,2,nan,61,very_high,female,,high,intermediate,laboratory_technician,medium,single,4928.33,12813.67,8,no,16,"3,0",very_high,full_time,0,16,3,excellent,13,3,7,1987,59140.0,yes
37,no,,556.26,,25,5,nan,62,medium,male,,high,intermediate,research_scientist,high,married,,11681.39,3,yes,15,"3,0",low,nan,2,15,2,good,13,10,7,1986,53914.11,no
35,no,,685.7,,6,4,nan,63,medium,female,,low,intermediate,research_scientist,very_high,,5538.33,14399.67,1,,13,"3,0",medium,full_time,0,,3,good,17,11,8,1988,66460.0,yes
33,no,travel_frequently,556.26,,6,3,life_sciences,64,high,female,,high,intermediate,healthcare_representative,very_high,divorced,4492.84,11681.39,3,no,23,"4,0",high,part_time,1,15,2,very_low,13,4,7,1990,53914.11,no
50,no,travel_rarely,1441.66,research_&_development,24,3,nan,65,very_high,female,,high,manager,manufacturing_director,high,married,,30274.83,3,yes,18,"3,0",very_high,full_time,1,22,2,good,12,1,5,1973,139730.0,no
48,no,travel_rarely,1032.49,,4,4,nan,66,high,female,,medium,senior,healthcare_representative,high,single,,21682.23,7,,14,,medium,part_time,0,27,3,good,15,4,8,1975,100071.84,yes
44,no,travel_rarely,1374.29,sales,28,3,nan,67,very_high,male,,very_high,manager,sales_executive,very_high,married,11100.0,28860.0,3,,18,"3,0",high,nan,1,,2,good,12,11,11,1979,,yes
44,no,travel_rarely,556.26,,29,4,nan,68,very_high,female,69.53,high,intermediate,research_scientist,very_high,single,,11681.39,1,,25,"4,0",medium,part_time,0,,3,good,20,13,17,1979,53914.11,yes
40,no,,556.26,,25,1,nan,69,nan,male,,very_high,intermediate,healthcare_representative,high,,,11681.39,5,no,20,"4,0",medium,part_time,3,15,0,good,12,11,8,1983,53914.11,yes
34,no,travel_rarely,689.93,,2,4,nan,70,high,male,86.24,high,intermediate,healthcare_representative,very_high,single,5572.5,14488.5,1,,11,"3,0",very_high,full_time,0,14,2,excellent,14,4,11,1989,66870.0,yes
35,no,non_travel,556.26,research_&_development,8,4,nan,71,high,male,,high,intermediate,healthcare_representative,high,,4492.84,11681.39,1,,12,"3,0",very_high,part_time,1,,5,good,14,2,9,1988,53914.11,yes
50,no,,1032.49,,17,5,life_sciences,72,very_high,male,,medium,senior,research_director,low,,,21682.23,5,no,15,"3,0",high,part_time,3,,3,good,14,1,11,1973,100071.84,no
49,no,,1582.77,,6,1,life_sciences,73,high,male,197.85,medium,manager,healthcare_representative,high,,12783.92,33238.2,2,,19,"3,0",medium,full_time,1,,3,good,15,2,12,1974,153407.07,yes
38,no,travel_frequently,488.53,,1,3,life_sciences,74,very_high,female,61.07,high,intermediate,research_scientist,very_high,,,10259.17,7,no,15,"3,0",very_high,part_time,2,19,4,,13,2,9,1985,47350.0,yes
33,no,,290.04,,21,3,nan,75,medium,female,,very_high,entry_level,laboratory_technician,medium,,,6090.75,1,no,18,"3,0",very_high,part_time,3,14,6,,14,2,13,1990,28111.13,yes
47,no,travel_rarely,1032.49,,4,3,life_sciences,76,high,male,,medium,senior,manufacturing_director,medium,divorced,8339.32,21682.23,8,yes,12,,high,part_time,1,,4,good,22,14,10,1976,100071.84,yes
38,no,,556.26,research_&_development,8,3,nan,77,very_high,male,,medium,intermediate,research_scientist,medium,divorced,4492.84,11681.39,1,,16,"3,0",high,nan,1,20,3,good,20,0,7,1985,,no
37,no,travel_rarely,1032.49,,10,3,life_sciences,78,high,male,,very_high,senior,research_director,very_high,,8339.32,21682.23,1,yes,25,"4,0",low,part_time,1,16,2,good,16,6,8,1986,100071.84,yes
30,no,,556.26,,2,3,nan,79,high,female,,medium,intermediate,healthcare_representative,very_high,married,,11681.39,1,no,19,,low,part_time,3,11,3,good,11,10,8,1993,53914.11,yes
58,no,travel_rarely,1431.24,,18,4,nan,80,very_high,female,,high,manager,sales_executive,high,single,11560.0,30056.0,0,,13,"3,0",high,full_time,0,38,1,low,37,1,8,1965,138720.0,yes
34,no,travel_rarely,1032.49,,5,3,nan,81,high,male,,medium,senior,manager,low,single,8339.32,21682.23,2,,12,"3,0",very_high,nan,0,14,6,good,11,5,8,1989,,no
58,yes,travel_rarely,1032.49,,23,4,medical,82,very_high,male,,high,senior,healthcare_representative,very_high,married,8339.32,21682.23,1,,12,"3,0",very_high,part_time,1,40,3,low,40,15,6,1965,100071.84,yes
38,no,,1032.49,,3,3,life_sciences,83,low,female,,high,senior,sales_executive,high,divorced,8339.32,21682.23,0,,12,"3,0",high,nan,2,,6,low,16,5,13,1985,,yes
29,no,travel_frequently,1032.49,,1,1,nan,84,medium,male,,high,senior,sales_executive,very_high,married,8339.32,21682.23,1,,14,"3,0",very_high,part_time,1,11,5,good,11,4,1,1994,100071.84,yes
55,no,travel_rarely,1964.96,,1,3,medical,85,very_high,female,245.62,high,executive,manager,low,single,15870.83,41264.17,0,,14,"3,0",high,full_time,0,37,2,good,36,4,13,1968,190450.0,yes
41,no,,1652.34,,10,4,nan,86,very_high,female,,high,manager,manager,medium,,13345.83,34699.17,1,,19,"3,0",medium,nan,0,,2,good,22,0,4,1982,,yes
39,no,travel_rarely,991.82,research_&_development,1,3,nan,87,high,female,123.98,very_high,senior,healthcare_representative,very_high,,8010.83,20828.17,0,no,17,,low,part_time,3,19,5,low,18,3,7,1984,96130.0,no
38,no,,1187.54,,15,2,life_sciences,88,high,female,148.44,medium,senior,research_director,very_high,,,24938.33,0,,14,"3,0",medium,full_time,1,,3,good,11,2,9,1985,115100.0,yes
43,no,,1582.77,,12,3,nan,89,low,female,,medium,manager,research_director,medium,,12783.92,33238.2,1,no,11,"3,0",high,full_time,1,,3,,25,3,9,1980,153407.07,yes
31,no,,444.27,,30,2,nan,90,medium,male,,high,intermediate,manufacturing_director,low,married,3588.33,9329.67,1,no,12,"3,0",medium,nan,1,13,5,very_low,13,3,12,1992,,yes
50,no,travel_rarely,1758.71,research_&_development,27,4,life_sciences,91,nan,female,,medium,manager,manager,high,marreid,14205.0,36933.0,0,no,15,"3,0",medium,full_time,1,28,2,good,27,15,7,1973,170460.0,yes
35,no,,1032.49,,25,3,technical_degree,92,very_high,female,129.06,medium,senior,manufacturing_director,medium,married,8339.32,21682.23,3,no,16,,low,part_time,0,,2,good,13,4,8,1988,100071.84,no
47,no,,522.79,,16,4,nan,93,high,female,,very_high,intermediate,manufacturing_director,high,,4222.5,10978.5,1,yes,19,"3,0",high,nan,0,20,3,,19,2,7,1976,,yes
35,no,,1032.49,research_&_development,25,4,nan,94,high,male,129.06,high,senior,healthcare_representative,high,divorced,8339.32,21682.23,1,yes,11,,high,part_time,1,,3,low,16,10,1,1988,100071.84,yes
40,no,travel_rarely,1032.49,,20,4,nan,95,low,female,129.06,high,senior,healthcare_representative,very_high,married,,21682.23,4,,20,"4,0",very_high,part_time,1,14,6,good,11,11,1,1983,100071.84,yes
45,no,,556.26,sales,9,4,life_sciences,96,medium,male,,medium,intermediate,sales_executive,high,married,4492.84,11681.39,1,,13,"3,0",very_high,part_time,1,15,2,good,15,4,12,1978,53914.11,no
33,no,,290.04,research_&_development,9,3,medical,97,low,female,,high,entry_level,research_scientist,very_high,married,,6090.75,0,,13,"3,0",medium,nan,1,15,5,good,14,4,10,1990,28111.13,no
36,no,travel_frequently,380.92,,3,3,nan,98,high,female,,high,entry_level,research_scientist,medium,married,3076.67,7999.33,1,no,12,"3,0",high,full_time,0,12,2,low,11,0,7,1987,36920.0,no
45,yes,,1973.98,,13,3,marketing,99,low,male,246.75,low,executive,manager,medium,,15943.72,41453.67,2,yes,16,"3,0",low,full_time,0,26,2,good,24,1,11,1978,191324.62,yes
51,no,travel_frequently,2047.71,,27,3,nan,100,nan,female,255.96,high,executive,manager,medium,,,43001.83,4,yes,24,,low,full_time,1,,5,low,29,11,10,1972,198470.0,no
34,no,travel_rarely,238.13,,7,2,technical_degree,101,medium,female,,high,entry_level,sales_representative,high,,,5000.67,0,yes,25,"4,0",medium,part_time,1,12,4,good,11,5,7,1989,23080.0,no
43,no,travel_rarely,1582.77,research_&_development,15,2,nan,102,high,female,,medium,manager,research_director,high,,,33238.2,1,no,24,"4,0",low,full_time,1,,3,good,14,6,11,1980,153407.07,yes
34,no,,556.26,,5,2,medical,103,medium,female,,medium,intermediate,laboratory_technician,very_high,,4492.84,11681.39,1,no,14,"3,0",high,part_time,1,,3,,15,4,13,1989,53914.11,no
38,no,,290.04,,2,3,nan,104,low,female,,high,entry_level,human_resources,medium,divorced,2342.59,6090.75,5,no,13,"3,0",very_high,part_time,3,13,3,good,11,3,8,1985,28111.13,yes
48,no,,1973.98,,10,3,nan,105,very_high,female,,medium,executive,research_director,medium,,,41453.67,4,no,12,"3,0",very_high,full_time,0,29,3,good,22,12,9,1975,191324.62,no
34,no,,592.94,research_&_development,22,4,other,106,high,female,,medium,intermediate,research_scientist,very_high,married,4789.17,12451.83,1,yes,15,"3,0",medium,full_time,0,16,3,good,15,6,11,1989,57470.0,no
32,no,travel_rarely,1075.29,,31,4,nan,107,nan,male,134.41,high,senior,sales_executive,very_high,,8685.0,22581.0,1,no,19,"3,0",high,full_time,2,14,3,good,14,5,7,1991,104220.0,yes
29,no,travel_rarely,1032.49,,21,4,life_sciences,108,medium,male,,very_high,senior,manufacturing_director,low,divorced,8339.32,21682.23,1,no,11,"3,0",high,nan,1,10,1,good,10,8,8,1994,,no
46,no,,1032.49,,1,3,medical,109,high,female,,medium,senior,healthcare_representative,low,married,,21682.23,2,yes,13,"3,0",high,nan,1,21,5,low,10,9,5,1977,100071.84,no
30,no,,654.85,human_resources,9,3,nan,110,high,female,,high,intermediate,human_resources,very_high,married,5289.17,13751.83,0,yes,19,"3,0",very_high,full_time,0,,2,very_low,11,4,7,1993,63470.0,no
45,no,,242.25,,9,3,life_sciences,111,medium,female,,high,intermediate,laboratory_technician,medium,,1956.67,5087.33,8,no,18,"3,0",high,part_time,1,20,2,,17,0,15,1978,23480.0,yes
30,no,travel_rarely,1032.49,,5,3,nan,112,medium,male,129.06,high,senior,sales_executive,very_high,,8339.32,21682.23,2,no,12,"3,0",high,part_time,1,,2,good,10,7,4,1993,100071.84,yes
30,no,,316.95,,9,3,nan,113,high,female,,high,intermediate,laboratory_technician,low,,,6656.0,1,no,11,,high,part_time,2,12,4,good,12,6,10,1993,30720.0,yes
34,no,travel_frequently,556.26,,29,1,nan,114,very_high,female,,medium,intermediate,manufacturing_director,high,married,4492.84,11681.39,1,,17,"3,0",high,nan,0,10,2,low,10,1,9,1989,,no
51,no,travel_rarely,1288.65,,8,4,life_sciences,115,medium,female,,medium,senior,research_director,medium,married,10408.33,27061.67,5,no,16,"3,0",very_high,full_time,2,16,5,very_low,10,4,7,1972,124900.0,no
34,no,,556.26,,39,4,life_sciences,116,nan,female,69.53,medium,intermediate,manufacturing_director,low,,4492.84,11681.39,6,,13,"3,0",medium,part_time,1,13,3,good,11,5,9,1989,53914.11,yes
35,no,travel_rarely,827.46,,16,3,nan,117,high,female,,high,senior,sales_executive,medium,married,6683.33,17376.67,0,,15,"3,0",high,part_time,2,12,3,low,11,6,9,1988,80200.0,yes
45,no,travel_frequently,1032.49,,7,3,life_sciences,118,low,female,,high,senior,laboratory_technician,low,,8339.32,21682.23,1,,18,"3,0",low,part_time,1,24,2,good,24,9,11,1978,100071.84,yes
39,no,,1760.98,,10,1,nan,119,high,female,,high,manager,manager,low,married,,36980.67,1,,14,,very_high,full_time,0,21,3,good,21,11,10,1984,170680.0,yes
31,no,,922.69,,7,2,nan,120,high,male,,medium,senior,manufacturing_director,high,married,7452.5,19376.5,1,no,24,"4,0",low,part_time,1,10,2,good,10,8,9,1992,89430.0,no
39,no,,1988.38,research_&_development,7,2,nan,121,high,female,,medium,executive,manager,very_high,married,16060.0,41756.0,1,,15,"3,0",low,full_time,1,,2,good,21,13,3,1984,192720.0,yes
45,no,travel_rarely,556.26,,8,4,nan,122,very_high,female,69.53,high,intermediate,research_scientist,very_high,,4492.84,11681.39,9,no,14,"3,0",low,part_time,2,12,3,good,10,9,8,1978,53914.11,yes
30,no,travel_rarely,556.26,sales,5,3,marketing,123,very_high,male,,medium,intermediate,sales_executive,high,,4492.84,11681.39,1,,13,"3,0",high,nan,3,10,2,good,10,1,2,1993,,yes
31,no,,1032.49,,7,4,medical,124,high,male,129.06,high,senior,manufacturing_director,very_high,,8339.32,21682.23,1,,14,"3,0",high,part_time,0,11,2,low,11,4,10,1992,100071.84,no
36,no,,1032.49,,3,4,medical,125,low,female,,medium,senior,sales_executive,very_high,married,8339.32,21682.23,4,no,11,"3,0",low,part_time,1,16,2,good,13,1,12,1987,100071.84,yes
36,no,travel_rarely,1032.49,,2,2,nan,126,medium,female,,medium,senior,sales_executive,high,married,,21682.23,1,,13,"3,0",medium,part_time,2,10,2,good,10,9,0,1987,100071.84,yes
55,no,travel_rarely,1582.77,,18,5,nan,127,low,male,197.85,high,manager,manager,medium,single,12783.92,33238.2,3,no,23,"4,0",very_high,full_time,0,37,2,good,10,7,7,1968,153407.07,yes
35,no,,556.26,,1,3,nan,128,medium,female,,high,intermediate,sales_executive,high,,4492.84,11681.39,9,,11,"3,0",high,part_time,0,15,2,good,11,6,9,1988,53914.11,yes
42,no,travel_rarely,1032.49,,24,3,medical,129,very_high,female,129.06,high,senior,manufacturing_director,low,married,8339.32,21682.23,1,,21,"4,0",very_high,part_time,1,10,5,low,10,5,8,1981,100071.84,no
52,no,travel_rarely,575.4,,6,2,nan,130,very_high,female,71.93,high,intermediate,research_scientist,low,divorced,4647.5,12083.5,3,yes,12,,medium,full_time,2,18,3,good,10,6,9,1971,55770.0,yes
49,no,,1973.98,,18,4,life_sciences,131,very_high,female,246.75,medium,executive,research_director,high,,,41453.67,1,yes,17,"3,0",high,full_time,1,,5,good,31,0,9,1974,191324.62,yes
34,no,travel_rarely,277.64,research_&_development,1,5,nan,132,medium,female,,high,entry_level,research_scientist,very_high,married,2242.5,5830.5,1,no,12,"3,0",very_high,part_time,1,,4,low,10,8,8,1989,26910.0,yes
33,yes,travel_rarely,290.04,,1,4,other,133,very_high,female,,high,entry_level,research_scientist,very_high,single,2342.59,6090.75,1,,13,"3,0",high,part_time,0,10,2,low,10,7,8,1990,28111.13,no
33,no,,1032.49,research_&_development,7,3,medical,134,high,female,,high,senior,research_director,high,married,8339.32,21682.23,0,no,11,"3,0",very_high,nan,0,,3,excellent,13,3,7,1990,,yes
53,no,travel_rarely,1582.77,,23,4,nan,135,very_high,male,,high,manager,research_director,very_high,,12783.92,33238.2,6,no,18,"3,0",high,full_time,0,33,0,good,12,3,8,1970,153407.07,yes
49,no,travel_rarely,763.8,,8,2,other,136,low,male,,high,senior,laboratory_technician,medium,married,6169.17,16039.83,4,,11,"3,0",high,part_time,1,29,3,low,26,1,7,1974,74030.0,no
35,no,,1032.49,,21,4,nan,137,nan,female,129.06,high,senior,sales_executive,very_high,,,21682.23,6,,13,"3,0",medium,part_time,1,,2,good,10,0,8,1988,100071.84,no
38,no,travel_rarely,910.31,,17,1,life_sciences,138,high,male,113.79,medium,senior,healthcare_representative,high,married,7352.5,19116.5,0,,18,"3,0",low,part_time,1,20,4,low,19,1,9,1985,88230.0,no
46,no,,1582.77,sales,3,1,marketing,139,low,female,,high,manager,manager,high,married,12783.92,33238.2,3,no,12,"3,0",very_high,full_time,1,,3,good,12,4,9,1977,153407.07,no
36,no,non_travel,556.26,,18,4,nan,140,low,female,69.53,high,intermediate,manufacturing_director,very_high,single,4492.84,11681.39,2,,20,"4,0",low,part_time,0,18,0,good,11,0,9,1987,53914.11,no
