category_department,department_id,category_level,level_id,category_role,role_id,department_role_id,department_role
,,intermediate,4,research_scientist,5,45,"intermediate, research_scientist"
,,intermediate,4,healthcare_representative,6,46,"intermediate, healthcare_representative"
,,intermediate,4,laboratory_technician,7,47,"intermediate, laboratory_technician"
,,intermediate,4,sales_representative,8,48,"intermediate, sales_representative"
,,intermediate,4,human_resources,9,49,"intermediate, human_resources"
,,senior,5,research_director,1,51,"senior, research_director"
,,senior,5,manager,2,52,"senior, manager"
,,senior,5,sales_executive,3,53,"senior, sales_executive"
,,senior,5,manufacturing_director,4,54,"senior, manufacturing_director"
,,senior,5,research_scientist,5,55,"senior, research_scientist"
,,senior,5,healthcare_representative,6,56,"senior, healthcare_representative"
,,senior,5,laboratory_technician,7,57,"senior, laboratory_technician"
,,senior,5,sales_representative,8,58,"senior, sales_representative"
,,senior,5,human_resources,9,59,"senior, human_resources"
